532,Rambo,2008,7555
533,Rambo III,1988,1370
535,Rambo: First Blood Part II,1985,1369
537,Ran,1985,11645
539,Ratatouille,2007,2062
544,Red Dragon,2002,9533
548,Requiem for a Dream,2000,641
549,Reservoir Dogs,1992,500
550,Resident Evil,2002,133121
552,Resident Evil: Apocalypse,2004,1577
553,Resident Evil: Extinction,2007,7737
559,Rings,2017,91908
565,Roman Holiday,1953,804
574,Saving Private Ryan,1998,857
575,Saw,2004,246355
577,Saw II,2005,215
578,Saw III,2006,214
579,Saw IV,2007,663
585,Schindler's List,1993,424
587,Scream,1996,646385
594,Shakespeare in Love,1998,1934
595,Shaun of the Dead,2004,747
598,Sherlock Holmes,2009,10528
599,Shrek,2001,808
600,Shrek 2,2004,809
601,Shrek Forever After,2010,10192
602,Shrek the Third,2007,810
614,Sixteen Candles,1984,15144
618,Sleepy Hollow,1999,2668
621,Snitch,2013,134411
628,Space Jam,1996,2300
629,Spaceballs,1987,957
631,Speed,1994,1637
633,Spider-Man,2002,315635
647,Stardust,2007,579400
648,Stargate,1994,2164
649,Step Brothers,2008,12133
657,Superman Returns,2006,1452
659,Sweeney Todd: The Demon Barber of Fleet Street,2007,1280646
660,Swingers,1996,93685
661,Taken,2008,8681
665,Tales from the Darkside: The Movie,1990,20701
667,Taxi Driver,1976,103
672,Tenacious D In the Pick of Destiny,2006,2179
674,Terminator 2: Judgment Day,1991,280
675,Terminator 3: Rise of the Machines,2003,296
680,The Addams Family,1991,2907
684,The Amityville Horror,2005,10065
686,The Big Lebowski,1998,115
688,The Birdcage,1996,11000
690,The Blair Witch Project,1999,2667
692,The Bourne Identity,2002,2501
694,The Bourne Supremacy,2004,2502
695,The Bourne Ultimatum,2007,2503
696,The Boxtrolls,2014,170687
697,The Boy Who Saw the Wind,2000,77194
699,The Breakfast Club,1985,2108
703,The Cable Guy,1996,9894
706,The Cider House Rules,1999,1715
709,The Count of Monte Cristo,2002,11362
711,The Curious Case of Benjamin Button,2008,4922
712,The Da Vinci Code,2006,591
713,The Danish Girl,2015,306819
714,The Dark Knight,2008,155
717,The Day After Tomorrow,2004,435
718,The Dead Zone,1983,352128
719,The Descent,2005,9392
720,The Devil Wears Prada,2006,350
726,The English Patient,1996,409
729,The Family Stone,2005,9043
730,The Fast and the Furious,2001,9799
731,The Fast and the Furious: Tokyo Drift,2006,9615
733,The Fifth Element,1997,18
734,The Fighter,2010,45317
742,The Godfather,1972,238
743,The Godfather Part II,1974,240
751,The Grudge,2004,1970
758,The Harvey Girls,1946,28907
763,The Hobbit: An Unexpected Journey,2012,49051
767,The Holiday,2006,1581
768,The Host,2006,1255
777,The Incredibles,2004,9806
780,The Italian Job,2003,9654
782,The Karate Kid,1984,38575
790,The Limey,1999,10388
797,The Lord of the Rings: The Fellowship of the Ring,2001,120
798,The Lord of the Rings: The Return of the King,2003,122
799,The Lord of the Rings: The Two Towers,2002,121
800,The Lost Boys,1987,1405651
801,The Lost World: Jurassic Park,1997,330
803,The Matrix,1999,603
804,The Matrix Reloaded,2003,604
805,The Matrix Revolutions,2003,605
809,The Midnight Meat Train,2008,10185
810,The Mummy,1999,564
812,The Mummy: Tomb of the Dragon Emperor,2008,1735
813,The Neverending Story,1984,34584
815,The Nightmare Before Christmas,1993,9479
820,The Perfect Storm,2000,2133
822,The Polar Express,2004,5255
823,The Possession,2012,77883
824,The Prestige,2006,1124
825,The Princess Bride,1987,2493
830,The River Wild,1994,8987
831,The Rocky Horror Picture Show,1975,36685
832,The Running Man,1987,144299
833,The Sandlot,1993,11528
834,The Santa Clause,1994,11395
837,The Secret Life of Walter Mitty,2013,116745
839,The Shawshank Redemption,1994,278
840,The Shining,1980,694
842,The Sound of Music,1965,15121
847,The Terminator,1984,218
851,The Town That Outlawed Christmas,2000,294877
852,The Truman Show,1998,37165
860,The Wizard of Oz,1939,630
861,The Wolf of Wall Street,2013,106646
866,The World Is Not Enough,1999,36643
869,There's Something About Mary,1998,544
872,Thor,2011,10195
875,Titanic,1997,597
876,Tommy Boy,1995,11381
877,Tomorrow Never Dies,1997,714
879,Top Gun,1986,744
881,Tower Heist,2011,59108
882,Toy Story 3,2010,10193
885,Trading Places,1983,1621
890,Tremors,1990,9362
893,Tropic Thunder,2008,7446
895,Twister: A Musical Catastrophe,2000,1219958
904,Up In Smoke,1978,1208810
908,V for Vendetta,2005,752
910,Vegas Vacation,1997,11419
918,Wayne's World 2,1993,8873
922,Who's Afraid of Virginia Woolf?,1966,396
927,Wonder Woman,2017,297762
929,World War Z,2013,72190
933,X-Men Origins: Wolverine,2009,2080
938,X-Men: The Last Stand,2006,36668
940,xXx,2002,7451
942,Zodiac,2007,1949
945,Sunshine,2007,17771
946,The Fugitive,1993,37368
947,Close Encounters of the Third Kind,1977,840
948,The Green Mile,1999,497
951,Scarface,1983,111
954,American Gangster,2007,4982
958,Clear and Present Danger,1994,9331
959,The Sum of All Fears,2002,4614
960,The Hunt for Red October,1990,1669
963,Alien,1979,348
966,Apollo 13,1995,568
971,Mystic River,2003,322
973,Ant-Man,2015,102899
976,Dirty Harry,1971,984
